overall_rank,preproc_id,model_name,param_combo,best_val_acc,top_k_accuracy,best_epoch,convergence_speed,preprocessing_type,model_rank,preproc_rank,accuracy_improvement,class_diversity,class_freq_json,loss,accuracy,auc,precision,recall,val_loss,val_accuracy,val_auc,val_precision,val_recall,val_top_k_accuracy,threshold,value,method,size,iterations,sigma
30.0,dilate,efficientnet,kernel_size-(15_15)_iterations-5,0.1449275314807891,0.36764705882352944,10,10,single,17.0,24.0,-0.019584774211713535,3,"{0: 68, 5: 68, 6: 68}",2.097318410873413,0.1213592216372489,0.5181196928024292,0.0,0.0,2.0788278579711914,0.1323529481887817,0.5083261132240295,0.0,0.0,0.6323529481887817,,,,(15,5.0,
31.0,dilate,efficientnet,kernel_size-(15_15)_iterations-7,0.1323529481887817,0.38235294117647056,5,5,single,18.0,25.0,-0.032159357503720926,3,"{3: 68, 5: 68, 6: 68}",2.119097948074341,0.1359223276376724,0.4988638162612915,0.0,0.0,2.080366373062134,0.1323529481887817,0.5107668042182922,0.0,0.0,0.6323529481887817,,,,(15,7.0,
31.0,dilate,efficientnet,kernel_size-(3_3)_iterations-1,0.1323529481887817,0.39705882352941174,5,5,single,18.0,25.0,-0.032159357503720926,4,"{0: 68, 2: 68, 4: 3, 5: 65}",2.125558853149414,0.1262135952711105,0.4879162609577179,0.0,0.0,2.0802810192108154,0.1323529481887817,0.519432783126831,0.0,0.0,0.6323529481887817,,,,(3,1.0,
29.0,dilate,efficientnet,kernel_size-(3_3)_iterations-2,0.147058829665184,0.36764705882352944,10,10,single,16.0,23.0,-0.017453476027318643,4,"{0: 2, 2: 66, 4: 68, 6: 68}",2.108835935592652,0.1067961156368255,0.489427775144577,0.0,0.0,2.079196691513061,0.1323529481887817,0.5110757350921631,0.0,0.0,0.6323529481887817,,,,(3,2.0,
30.0,dilate,efficientnet,kernel_size-(3_3)_iterations-3,0.1449275314807891,0.36764705882352944,11,11,single,17.0,24.0,-0.019584774211713535,3,"{0: 68, 1: 68, 4: 68}",2.1153812408447266,0.1067961156368255,0.4846945703029632,0.0,0.0,2.080922365188598,0.1323529481887817,0.4904535412788391,0.0,0.0,0.6176470518112183,,,,(3,3.0,
21.0,dilate,efficientnet,kernel_size-(3_3)_iterations-7,0.2058823555707931,0.38235294117647056,9,9,single,8.0,15.0,0.04137004987829046,4,"{0: 52, 2: 68, 5: 68, 6: 16}",2.118350028991699,0.1456310749053955,0.4759756028652191,0.0,0.0,2.081108808517456,0.1323529481887817,0.4979455471038818,0.0,0.0,0.6323529481887817,,,,(3,7.0,
29.0,dilate,efficientnet,kernel_size-(5_5)_iterations-1,0.147058829665184,0.36764705882352944,3,3,single,16.0,23.0,-0.017453476027318643,4,"{1: 54, 3: 68, 6: 68, 7: 14}",2.146815776824951,0.1067961156368255,0.4891837239265442,0.0,0.0,2.0809054374694824,0.1176470592617988,0.5078163146972656,0.0,0.0,0.6176470518112183,,,,(5,1.0,
29.0,dilate,efficientnet,kernel_size-(5_5)_iterations-2,0.147058829665184,0.38235294117647056,11,11,single,16.0,23.0,-0.017453476027318643,3,"{0: 68, 2: 68, 5: 68}",2.0727334022521973,0.1601941734552383,0.5423494577407837,0.0,0.0,2.078701972961426,0.147058829665184,0.5124197006225586,0.0,0.0,0.6470588445663452,,,,(5,2.0,
30.0,dilate,efficientnet,kernel_size-(5_5)_iterations-3,0.1449275314807891,0.36764705882352944,10,10,single,17.0,24.0,-0.019584774211713535,3,"{1: 68, 4: 68, 6: 68}",2.123613119125366,0.1019417494535446,0.488453209400177,0.0,0.0,2.0790834426879883,0.1323529481887817,0.5149839520454407,0.0,0.0,0.6323529481887817,,,,(5,3.0,
31.0,dilate,efficientnet,kernel_size-(5_5)_iterations-5,0.1323529481887817,0.36764705882352944,1,1,single,18.0,25.0,-0.032159357503720926,3,"{0: 68, 2: 68, 6: 68}",2.1758389472961426,0.097087375819683,0.4881300330162048,0.0,0.0,2.083625555038452,0.1176470592617988,0.5014829635620117,0.0,0.0,0.6323529481887817,,,,(5,5.0,
25.0,dilate,efficientnet,kernel_size-(5_5)_iterations-7,0.1764705926179886,0.35294117647058826,11,11,single,12.0,19.0,0.01195828692548595,4,"{0: 68, 2: 5, 3: 68, 4: 63}",2.094935178756714,0.1407766938209533,0.5026695728302002,0.0,0.0,2.079339027404785,0.1764705926179886,0.5065497159957886,0.0,0.0,0.6323529481887817,,,,(5,7.0,
30.0,dilate,efficientnet,kernel_size-(9_9)_iterations-1,0.1449275314807891,0.36764705882352944,10,10,single,17.0,24.0,-0.019584774211713535,4,"{1: 1, 2: 68, 3: 67, 4: 68}",2.1164321899414062,0.1116504818201065,0.4873422682285309,0.0,0.0,2.0810797214508057,0.1323529481887817,0.5051903128623962,0.0,0.0,0.6323529481887817,,,,(9,1.0,
28.0,dilate,efficientnet,kernel_size-(9_9)_iterations-2,0.159420296549797,0.38235294117647056,5,5,single,15.0,22.0,-0.0050920091427056335,3,"{3: 68, 5: 68, 7: 68}",2.1386032104492188,0.1067961156368255,0.4803215861320495,0.0,0.0,2.0821001529693604,0.1176470592617988,0.4987487494945526,0.0,0.0,0.6176470518112183,,,,(9,2.0,
23.0,dilate,efficientnet,kernel_size-(9_9)_iterations-3,0.1911764740943908,0.38235294117647056,5,5,single,10.0,17.0,0.026664168401888177,3,"{0: 68, 2: 68, 3: 68}",2.130235195159912,0.0873786434531211,0.4811396300792694,0.0,0.0,2.0788278579711914,0.1911764740943908,0.4919673800468445,0.0,0.0,0.6323529481887817,,,,(9,3.0,
26.0,dilate,efficientnet,kernel_size-(9_9)_iterations-5,0.1739130467176437,0.39705882352941174,5,5,single,13.0,20.0,0.009400741025141074,4,"{0: 2, 3: 68, 5: 68, 7: 66}",2.1670145988464355,0.1019417494535446,0.4498909115791321,0.0,0.0,2.08093786239624,0.1323529481887817,0.5070594549179077,0.0,0.0,0.6323529481887817,,,,(9,5.0,
27.0,dilate,efficientnet,kernel_size-(9_9)_iterations-7,0.1617647111415863,0.36764705882352944,9,9,single,14.0,21.0,-0.0027475945509163324,3,"{0: 68, 1: 68, 6: 68}",2.112654447555542,0.116504855453968,0.4977091550827026,0.0,0.0,2.081422805786133,0.1617647111415863,0.5089285373687744,0.0,0.0,0.6323529481887817,,,,(9,7.0,
14.0,dilate,inception,kernel_size-(3_3)_iterations-5,0.260869562625885,0.39705882352941174,11,11,single,13.0,8.0,0.010133792213193993,8,"{0: 30, 1: 26, 2: 29, 3: 20, 4: 24, 5: 39, 6: 11, 7: 25}",1.9229695796966555,0.276699036359787,0.6776439547538757,0.4210526347160339,0.0388349518179893,2.063440322875977,0.1911764740943908,0.5460177063941956,0.0,0.0,0.6911764740943909,,,,(3,5.0,
6.0,dilate,inception,kernel_size-(11_11)_iterations-1,0.3188405930995941,0.4264705882352941,14,14,single,5.0,1.0,0.0681048226869031,8,"{0: 24, 1: 8, 2: 23, 3: 20, 4: 38, 5: 9, 6: 50, 7: 32}",1.919804930686951,0.252427190542221,0.6876490712165833,0.3125,0.0242718439549207,2.053416967391968,0.1617647111415863,0.5605381727218628,0.0,0.0,0.6911764740943909,,,,(11,1.0,
24.0,dilate,inception,kernel_size-(11_11)_iterations-2,0.1884057968854904,0.45588235294117646,10,10,single,23.0,18.0,-0.06232997352720063,8,"{0: 29, 1: 16, 2: 27, 3: 20, 4: 16, 5: 45, 6: 40, 7: 11}",2.052391290664673,0.2427184432744979,0.6346111297607422,0.25,0.014563106931746,2.0995781421661377,0.1323529481887817,0.5223369002342224,0.0,0.0,0.6911764740943909,,,,(11,2.0,
